epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,94.5393,0.90257,1.11071,0.99776,0.91912,0.92503,0.995,0.67331,1.11717,0.99519,0.9963,0.000853685,0.000853685,0.000853685
63,95.9293,0.96511,0.87242,0.94093,0.89612,0.92261,0.995,0.6822,1.13777,0.96548,0.99779,0.000844253,0.000844253,0.000844253
64,97.313,0.92161,0.91273,0.9388,0.89612,0.92261,0.995,0.6822,1.13777,0.96548,0.99779,0.000834822,0.000834822,0.000834822
65,98.6976,0.96375,0.86847,0.92961,0.91597,0.92389,0.995,0.73043,1.03493,0.92321,0.9912,0.00082539,0.00082539,0.00082539
66,100.115,0.87568,0.87471,0.9171,0.91597,0.92389,0.995,0.73043,1.03493,0.92321,0.9912,0.000815959,0.000815959,0.000815959
67,101.472,0.84253,0.94384,0.93699,0.91597,0.92389,0.995,0.73043,1.03493,0.92321,0.9912,0.000806528,0.000806528,0.000806528
68,102.852,0.92945,0.94136,0.97626,0.92714,0.91667,0.97833,0.71546,1.05499,0.87006,0.96846,0.000797096,0.000797096,0.000797096
69,104.224,0.84453,0.82919,0.91554,0.92714,0.91667,0.97833,0.71546,1.05499,0.87006,0.96846,0.000787665,0.000787665,0.000787665
70,105.593,0.89435,0.83282,0.91034,0.92714,0.91667,0.97833,0.71546,1.05499,0.87006,0.96846,0.000778233,0.000778233,0.000778233
71,106.97,0.83692,0.83295,0.8821,0.94521,0.92451,0.995,0.7503,1.02432,0.84544,0.93913,0.000768802,0.000768802,0.000768802
72,108.384,0.71509,0.80289,0.91615,0.94521,0.92451,0.995,0.7503,1.02432,0.84544,0.93913,0.000759371,0.000759371,0.000759371
73,109.815,0.87943,0.86393,0.95954,0.94781,0.92456,0.995,0.73776,1.01541,0.83741,0.93841,0.000749939,0.000749939,0.000749939
74,111.201,0.78159,0.85834,0.93363,0.94781,0.92456,0.995,0.73776,1.01541,0.83741,0.93841,0.000740508,0.000740508,0.000740508
75,112.555,0.83361,0.86575,0.92482,0.94781,0.92456,0.995,0.73776,1.01541,0.83741,0.93841,0.000731076,0.000731076,0.000731076
76,113.913,0.73991,0.93149,0.87462,0.92781,0.92556,0.995,0.75452,1.03414,0.84944,0.945,0.000721645,0.000721645,0.000721645
77,115.335,0.76827,0.75519,0.90304,0.92781,0.92556,0.995,0.75452,1.03414,0.84944,0.945,0.000712214,0.000712214,0.000712214
78,116.867,0.77556,0.75331,0.90269,0.92781,0.92556,0.995,0.75452,1.03414,0.84944,0.945,0.000702782,0.000702782,0.000702782
79,118.275,0.75959,0.88112,0.90751,0.86263,0.96431,0.995,0.77103,0.96693,0.8586,0.93459,0.000693351,0.000693351,0.000693351
80,119.645,0.75462,0.86667,0.9295,0.86263,0.96431,0.995,0.77103,0.96693,0.8586,0.93459,0.000683919,0.000683919,0.000683919
81,121.052,0.84134,0.77259,0.93597,0.8366,0.98275,0.995,0.72742,0.9266,0.91437,0.93486,0.000674488,0.000674488,0.000674488
82,122.836,0.78291,0.80585,0.87684,0.8366,0.98275,0.995,0.72742,0.9266,0.91437,0.93486,0.000665057,0.000665057,0.000665057
83,124.205,0.7083,0.73843,0.8966,0.8366,0.98275,0.995,0.72742,0.9266,0.91437,0.93486,0.000655625,0.000655625,0.000655625
84,125.585,0.71617,0.74426,0.87583,0.83795,0.98177,0.995,0.71364,0.93866,0.90311,0.91561,0.000646194,0.000646194,0.000646194
85,126.962,0.75918,0.7292,0.93763,0.83795,0.98177,0.995,0.71364,0.93866,0.90311,0.91561,0.000636762,0.000636762,0.000636762
86,129.323,0.68888,0.72534,0.9052,0.83795,0.98177,0.995,0.71364,0.93866,0.90311,0.91561,0.000627331,0.000627331,0.000627331
87,130.747,0.75861,0.72044,0.88881,0.84332,0.9822,0.995,0.75583,0.92254,0.85442,0.91566,0.0006179,0.0006179,0.0006179
88,132.123,0.7936,0.75362,0.89048,0.84332,0.9822,0.995,0.75583,0.92254,0.85442,0.91566,0.000608468,0.000608468,0.000608468
89,134.448,0.77283,0.7352,0.90434,0.85835,0.98498,0.995,0.7723,0.9139,0.8433,0.92072,0.000599037,0.000599037,0.000599037
90,135.849,0.82019,0.79531,0.9202,0.85835,0.98498,0.995,0.7723,0.9139,0.8433,0.92072,0.000589605,0.000589605,0.000589605
91,137.213,0.82419,0.74265,0.86526,0.85835,0.98498,0.995,0.7723,0.9139,0.8433,0.92072,0.000580174,0.000580174,0.000580174
92,138.635,0.72498,0.83518,0.88673,0.87018,0.98681,0.995,0.76546,0.94058,0.80941,0.92655,0.000570743,0.000570743,0.000570743
93,141.544,0.75418,0.72161,0.91273,0.87018,0.98681,0.995,0.76546,0.94058,0.80941,0.92655,0.000561311,0.000561311,0.000561311
94,142.913,0.76383,0.71652,0.86551,0.87018,0.98681,0.995,0.76546,0.94058,0.80941,0.92655,0.00055188,0.00055188,0.00055188
95,144.33,0.74786,0.73867,0.90003,0.91148,0.94185,0.995,0.79452,0.93224,0.78572,0.92973,0.000542448,0.000542448,0.000542448
96,146.234,0.78553,0.8882,0.95754,0.91148,0.94185,0.995,0.79452,0.93224,0.78572,0.92973,0.000533017,0.000533017,0.000533017
97,147.617,0.80136,0.73873,0.92526,0.90984,0.92927,0.995,0.77384,0.97138,0.81235,0.94358,0.000523586,0.000523586,0.000523586
98,149.066,0.78076,0.70861,0.88908,0.90984,0.92927,0.995,0.77384,0.97138,0.81235,0.94358,0.000514154,0.000514154,0.000514154
99,150.445,0.77366,0.71997,0.88608,0.90984,0.92927,0.995,0.77384,0.97138,0.81235,0.94358,0.000504723,0.000504723,0.000504723
100,151.844,0.63687,0.66612,0.88174,0.8562,0.97512,0.995,0.73785,1.00268,0.79917,0.95749,0.000495291,0.000495291,0.000495291
101,153.223,0.75422,0.70252,0.90763,0.8562,0.97512,0.995,0.73785,1.00268,0.79917,0.95749,0.00048586,0.00048586,0.00048586
102,154.616,0.63673,0.72572,0.8531,0.8562,0.97512,0.995,0.73785,1.00268,0.79917,0.95749,0.000476429,0.000476429,0.000476429
103,156.021,0.72389,0.69774,0.88244,0.85329,0.98574,0.995,0.73377,0.99201,0.77202,0.95893,0.000466997,0.000466997,0.000466997
104,157.518,0.74713,0.69678,0.90419,0.85329,0.98574,0.995,0.73377,0.99201,0.77202,0.95893,0.000457566,0.000457566,0.000457566
105,158.913,0.74966,0.75052,0.86125,0.86496,0.98618,0.995,0.75165,0.98143,0.75008,0.96142,0.000448134,0.000448134,0.000448134
